gameDuration,gameMode,gameType,gameVersion,mapId,index,team
950957,URF,MATCHED_GAME,11.19.398.9466,11,1,100
904515,URF,MATCHED_GAME,11.19.398.9466,11,4,100
1121760,URF,MATCHED_GAME,11.19.398.9466,11,6,200
1370877,URF,MATCHED_GAME,11.19.398.9466,11,2,100
1287954,URF,MATCHED_GAME,11.19.398.9466,11,1,100
751931,URF,MATCHED_GAME,11.19.398.9466,11,6,200
1335078,URF,MATCHED_GAME,11.19.398.9466,11,5,200
1150752,URF,MATCHED_GAME,11.19.398.9466,11,4,100
961086,ARAM,MATCHED_GAME,11.15.389.2308,12,6,200
1943798,CLASSIC,MATCHED_GAME,11.15.389.2308,11,5,200
1252230,CLASSIC,MATCHED_GAME,11.15.389.2308,11,0,100
2284556,CLASSIC,MATCHED_GAME,11.15.389.2308,11,3,100
924660,CLASSIC,MATCHED_GAME,11.15.389.2308,11,5,200
1493518,CLASSIC,MATCHED_GAME,11.15.389.2308,11,0,100
1100728,CLASSIC,MATCHED_GAME,11.15.389.2308,11,2,100
2103422,CLASSIC,MATCHED_GAME,11.15.389.2308,11,5,200
2321689,ULTBOOK,MATCHED_GAME,11.15.389.2308,11,9,200
2116783,ULTBOOK,MATCHED_GAME,11.15.389.2308,11,4,100
1041619,ARAM,MATCHED_GAME,11.15.389.2308,12,7,200
1447350,ARAM,MATCHED_GAME,11.15.389.2308,12,3,100
1494479,ARAM,MATCHED_GAME,11.15.389.2308,12,2,100
2446874,CLASSIC,MATCHED_GAME,11.15.389.2308,11,4,100
898140,ARAM,MATCHED_GAME,11.15.389.2308,12,5,200
988809,ARAM,MATCHED_GAME,11.15.389.2308,12,8,200
1977321,CLASSIC,MATCHED_GAME,11.15.389.2308,11,0,100
2286907,ULTBOOK,MATCHED_GAME,11.15.389.2308,11,4,100
1548354,CLASSIC,MATCHED_GAME,11.15.389.2308,11,0,100
911297,ARAM,MATCHED_GAME,11.15.389.2308,12,0,100
950825,ARAM,MATCHED_GAME,11.15.389.2308,12,8,200
1161873,CLASSIC,MATCHED_GAME,11.15.389.2308,11,4,100
1437366,CLASSIC,MATCHED_GAME,11.15.389.2308,11,9,200
811441,ULTBOOK,MATCHED_GAME,11.15.389.2308,11,9,200
1535856,ULTBOOK,MATCHED_GAME,11.15.389.2308,11,5,200
1506670,ULTBOOK,MATCHED_GAME,11.15.388.2387,11,1,100
1529564,CLASSIC,MATCHED_GAME,11.15.388.2387,11,4,100
1857585,CLASSIC,MATCHED_GAME,11.15.388.2387,11,1,100
2134601,CLASSIC,MATCHED_GAME,11.15.387.5736,11,9,200
1437903,CLASSIC,MATCHED_GAME,11.15.387.5736,11,4,100
1845952,ULTBOOK,MATCHED_GAME,11.15.387.5736,11,6,200
1336886,ULTBOOK,MATCHED_GAME,11.14.385.9967,11,1,100
1500235,ULTBOOK,MATCHED_GAME,11.14.385.9967,11,8,200
1234292,ULTBOOK,MATCHED_GAME,11.14.385.9967,11,9,200
683168,ULTBOOK,MATCHED_GAME,11.14.385.9967,11,6,200
1096605,ULTBOOK,MATCHED_GAME,11.14.385.9967,11,3,100
958690,CLASSIC,MATCHED_GAME,11.14.385.9967,11,9,200
1234660,ARAM,MATCHED_GAME,11.13.382.1241,12,4,100
1900771,CLASSIC,MATCHED_GAME,11.13.382.1241,11,5,200
1684258,CLASSIC,MATCHED_GAME,11.13.382.1241,11,9,200
1189748,CLASSIC,MATCHED_GAME,11.13.382.1241,11,9,200
1152291,CLASSIC,MATCHED_GAME,11.13.382.1241,11,0,100
1377636,ARAM,MATCHED_GAME,11.13.382.1241,12,0,100
1270812,CLASSIC,MATCHED_GAME,11.13.382.1241,11,0,100
1343407,ARAM,MATCHED_GAME,11.13.382.1241,12,4,100
1789876,CLASSIC,MATCHED_GAME,11.13.382.1241,11,9,200
1291386,CLASSIC,MATCHED_GAME,11.13.382.1241,11,4,100
2141490,CLASSIC,MATCHED_GAME,11.13.382.1241,11,9,200
1624057,CLASSIC,MATCHED_GAME,11.13.382.1241,11,9,200
1703770,CLASSIC,MATCHED_GAME,11.13.382.1241,11,4,100
2196923,CLASSIC,MATCHED_GAME,11.13.382.1241,11,5,200
1018280,ARAM,MATCHED_GAME,11.13.382.1241,12,9,200
1932110,CLASSIC,MATCHED_GAME,11.13.382.1241,11,5,200
818699,CLASSIC,MATCHED_GAME,11.13.382.1241,11,9,200
1068782,CLASSIC,MATCHED_GAME,11.13.382.1241,11,5,200
877909,CLASSIC,MATCHED_GAME,11.13.382.1241,11,7,200
1195262,CLASSIC,MATCHED_GAME,11.13.382.1241,11,9,200
1256123,CLASSIC,MATCHED_GAME,11.13.382.1241,11,2,100
1274508,ARAM,MATCHED_GAME,11.13.382.1241,12,0,100
846132,ARAM,MATCHED_GAME,11.13.382.1241,12,7,200
2461340,CLASSIC,MATCHED_GAME,11.13.382.1241,11,6,200
1152825,CLASSIC,MATCHED_GAME,11.13.382.1241,11,6,200
1499477,CLASSIC,MATCHED_GAME,11.13.382.1241,11,4,100
726530,NEXUSBLITZ,MATCHED_GAME,11.12.379.4946,21,5,200
1122796,CLASSIC,MATCHED_GAME,11.12.379.4946,11,7,200
1905184,CLASSIC,MATCHED_GAME,11.12.379.4946,11,6,200
975683,CLASSIC,MATCHED_GAME,11.12.379.4946,11,3,100
1463600,CLASSIC,MATCHED_GAME,11.12.379.4946,11,4,100
1187077,ARAM,MATCHED_GAME,11.12.379.4946,12,0,100
1260119,CLASSIC,MATCHED_GAME,11.12.379.4946,11,4,100
1264023,ARAM,MATCHED_GAME,11.12.379.4946,12,0,100
697806,ARAM,MATCHED_GAME,11.12.379.4946,12,4,100
819141,ARAM,MATCHED_GAME,11.12.379.4946,12,0,100
975444,CLASSIC,MATCHED_GAME,11.12.379.4946,11,0,100
1736101,CLASSIC,MATCHED_GAME,11.12.379.4946,11,3,100
2031308,CLASSIC,MATCHED_GAME,11.12.379.4946,11,3,100
2914836,CLASSIC,MATCHED_GAME,11.12.379.4946,11,7,200
2101865,CLASSIC,MATCHED_GAME,11.11.377.6311,11,6,200
1224625,CLASSIC,MATCHED_GAME,11.11.377.6311,11,4,100
1165922,CLASSIC,MATCHED_GAME,11.11.377.6311,11,5,200
633628,ARAM,MATCHED_GAME,11.11.377.6311,12,0,100
1107172,ARAM,MATCHED_GAME,11.11.377.6311,12,9,200
1235372,CLASSIC,MATCHED_GAME,11.11.377.6311,11,5,200
945335,CLASSIC,MATCHED_GAME,11.11.377.6311,11,5,200
940906,CLASSIC,MATCHED_GAME,11.11.377.6311,11,0,100
1437592,CLASSIC,MATCHED_GAME,11.11.377.6311,11,8,200
1162941,ARAM,MATCHED_GAME,11.11.377.6311,12,5,200
1611393,CLASSIC,MATCHED_GAME,11.11.377.6311,11,5,200
1932514,CLASSIC,MATCHED_GAME,11.11.377.6311,11,5,200
2276172,CLASSIC,MATCHED_GAME,11.11.377.6311,11,1,100
1456157,ARAM,MATCHED_GAME,11.11.377.6311,12,6,200
1288909,CLASSIC,MATCHED_GAME,11.11.377.6311,11,5,200
1303059,CLASSIC,MATCHED_GAME,11.11.377.6311,11,5,200
1070524,CLASSIC,MATCHED_GAME,11.11.377.6311,11,5,200
990353,ARAM,MATCHED_GAME,11.11.377.6311,12,4,100
1113874,ARAM,MATCHED_GAME,11.11.377.6311,12,1,100
1272113,ARAM,MATCHED_GAME,11.11.377.6311,12,5,200
2351119,CLASSIC,MATCHED_GAME,11.11.377.6311,11,3,100
1377708,CLASSIC,MATCHED_GAME,11.11.377.6311,11,3,100
1231940,ARAM,MATCHED_GAME,11.11.377.6311,12,5,200
2022342,CLASSIC,MATCHED_GAME,11.11.377.6311,11,2,100
1661399,CLASSIC,MATCHED_GAME,11.11.377.6311,11,8,200
1004890,ARAM,MATCHED_GAME,11.11.377.6311,12,6,200
872688,ARAM,MATCHED_GAME,11.11.377.6311,12,6,200
1381609,CLASSIC,MATCHED_GAME,11.10.376.4811,11,7,200
2064039,CLASSIC,MATCHED_GAME,11.10.376.4811,11,9,200
1363463,CLASSIC,MATCHED_GAME,11.10.376.4811,11,2,100
691882,ARAM,MATCHED_GAME,11.10.376.4811,12,3,100
1295804,CLASSIC,MATCHED_GAME,11.10.376.4811,11,9,200
620086,ARAM,MATCHED_GAME,11.10.376.4811,12,5,200
881247,ARAM,MATCHED_GAME,11.10.376.4811,12,7,200
828119,ARAM,MATCHED_GAME,11.10.376.4811,12,6,200
1359246,ARAM,MATCHED_GAME,11.10.376.4811,12,0,100
1343633,CLASSIC,MATCHED_GAME,11.10.376.4811,11,2,100
