,100,200
0,"{'bans': [{'championId': -1, 'pickTurn': 1}, {'championId': 711, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 7, 'pickTurn': 4}, {'championId': 245, 'pickTurn': 5}], 'teamId': 100, 'win': True, 'objectives.baron.first': True, 'objectives.baron.kills': 1, 'objectives.champion.first': False, 'objectives.champion.kills': 20, 'objectives.dragon.first': False, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 0, 'objectives.tower.first': False, 'objectives.tower.kills': 3}","{'bans': [{'championId': -1, 'pickTurn': 6}, {'championId': 166, 'pickTurn': 7}, {'championId': 30, 'pickTurn': 8}, {'championId': 236, 'pickTurn': 9}, {'championId': 39, 'pickTurn': 10}], 'teamId': 200, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': True, 'objectives.champion.kills': 14, 'objectives.dragon.first': True, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 2, 'objectives.tower.first': True, 'objectives.tower.kills': 4}"
1,"{'bans': [{'championId': 238, 'pickTurn': 1}, {'championId': 21, 'pickTurn': 2}, {'championId': 245, 'pickTurn': 3}, {'championId': -1, 'pickTurn': 4}, {'championId': -1, 'pickTurn': 5}], 'teamId': 100, 'win': True, 'objectives.baron.first': True, 'objectives.baron.kills': 1, 'objectives.champion.first': False, 'objectives.champion.kills': 25, 'objectives.dragon.first': True, 'objectives.dragon.kills': 2, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 1, 'objectives.tower.first': True, 'objectives.tower.kills': 6}","{'bans': [{'championId': 126, 'pickTurn': 6}, {'championId': 85, 'pickTurn': 7}, {'championId': 166, 'pickTurn': 8}, {'championId': 711, 'pickTurn': 9}, {'championId': 412, 'pickTurn': 10}], 'teamId': 200, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': True, 'objectives.champion.kills': 17, 'objectives.dragon.first': False, 'objectives.dragon.kills': 2, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 1, 'objectives.tower.first': False, 'objectives.tower.kills': 2}"
2,"{'bans': [{'championId': 23, 'pickTurn': 1}, {'championId': 711, 'pickTurn': 2}, {'championId': 39, 'pickTurn': 3}, {'championId': 76, 'pickTurn': 4}, {'championId': 236, 'pickTurn': 5}], 'teamId': 100, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': True, 'objectives.champion.kills': 13, 'objectives.dragon.first': False, 'objectives.dragon.kills': 0, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 1, 'objectives.tower.first': True, 'objectives.tower.kills': 3}","{'bans': [{'championId': 39, 'pickTurn': 6}, {'championId': 134, 'pickTurn': 7}, {'championId': 7, 'pickTurn': 8}, {'championId': 711, 'pickTurn': 9}, {'championId': 236, 'pickTurn': 10}], 'teamId': 200, 'win': True, 'objectives.baron.first': True, 'objectives.baron.kills': 1, 'objectives.champion.first': False, 'objectives.champion.kills': 23, 'objectives.dragon.first': True, 'objectives.dragon.kills': 2, 'objectives.inhibitor.first': True, 'objectives.inhibitor.kills': 1, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 1, 'objectives.tower.first': False, 'objectives.tower.kills': 8}"
3,"{'bans': [{'championId': 412, 'pickTurn': 1}, {'championId': 7, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 85, 'pickTurn': 4}, {'championId': 711, 'pickTurn': 5}], 'teamId': 100, 'win': True, 'objectives.baron.first': True, 'objectives.baron.kills': 2, 'objectives.champion.first': False, 'objectives.champion.kills': 33, 'objectives.dragon.first': False, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 4, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 0, 'objectives.tower.first': False, 'objectives.tower.kills': 10}","{'bans': [{'championId': 412, 'pickTurn': 6}, {'championId': 39, 'pickTurn': 7}, {'championId': 32, 'pickTurn': 8}, {'championId': -1, 'pickTurn': 9}, {'championId': 38, 'pickTurn': 10}], 'teamId': 200, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': True, 'objectives.champion.kills': 32, 'objectives.dragon.first': True, 'objectives.dragon.kills': 3, 'objectives.inhibitor.first': True, 'objectives.inhibitor.kills': 1, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 2, 'objectives.tower.first': True, 'objectives.tower.kills': 6}"
4,"{'bans': [{'championId': 711, 'pickTurn': 1}, {'championId': 7, 'pickTurn': 2}, {'championId': 236, 'pickTurn': 3}, {'championId': 360, 'pickTurn': 4}, {'championId': 76, 'pickTurn': 5}], 'teamId': 100, 'win': True, 'objectives.baron.first': True, 'objectives.baron.kills': 1, 'objectives.champion.first': True, 'objectives.champion.kills': 37, 'objectives.dragon.first': True, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': True, 'objectives.inhibitor.kills': 1, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 2, 'objectives.tower.first': True, 'objectives.tower.kills': 6}","{'bans': [{'championId': 64, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': 32, 'pickTurn': 8}, {'championId': 30, 'pickTurn': 9}, {'championId': 53, 'pickTurn': 10}], 'teamId': 200, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': False, 'objectives.champion.kills': 13, 'objectives.dragon.first': False, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 0, 'objectives.tower.first': False, 'objectives.tower.kills': 3}"
5,"{'bans': [{'championId': 81, 'pickTurn': 1}, {'championId': 32, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 7, 'pickTurn': 4}, {'championId': 711, 'pickTurn': 5}], 'teamId': 100, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': False, 'objectives.champion.kills': 33, 'objectives.dragon.first': True, 'objectives.dragon.kills': 3, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 1, 'objectives.tower.first': True, 'objectives.tower.kills': 3}","{'bans': [{'championId': -1, 'pickTurn': 6}, {'championId': 92, 'pickTurn': 7}, {'championId': 711, 'pickTurn': 8}, {'championId': 7, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}], 'teamId': 200, 'win': True, 'objectives.baron.first': True, 'objectives.baron.kills': 2, 'objectives.champion.first': True, 'objectives.champion.kills': 40, 'objectives.dragon.first': False, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': True, 'objectives.inhibitor.kills': 1, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 1, 'objectives.tower.first': False, 'objectives.tower.kills': 9}"
6,"{'bans': [{'championId': 236, 'pickTurn': 1}, {'championId': 711, 'pickTurn': 2}, {'championId': 76, 'pickTurn': 3}, {'championId': 23, 'pickTurn': 4}, {'championId': 777, 'pickTurn': 5}], 'teamId': 100, 'win': True, 'objectives.baron.first': True, 'objectives.baron.kills': 1, 'objectives.champion.first': True, 'objectives.champion.kills': 37, 'objectives.dragon.first': False, 'objectives.dragon.kills': 2, 'objectives.inhibitor.first': True, 'objectives.inhibitor.kills': 1, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 2, 'objectives.tower.first': True, 'objectives.tower.kills': 7}","{'bans': [{'championId': 412, 'pickTurn': 6}, {'championId': 23, 'pickTurn': 7}, {'championId': 54, 'pickTurn': 8}, {'championId': 76, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}], 'teamId': 200, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': False, 'objectives.champion.kills': 18, 'objectives.dragon.first': True, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 0, 'objectives.tower.first': False, 'objectives.tower.kills': 1}"
7,"{'bans': [{'championId': 54, 'pickTurn': 1}, {'championId': 76, 'pickTurn': 2}, {'championId': 238, 'pickTurn': 3}, {'championId': 32, 'pickTurn': 4}, {'championId': 7, 'pickTurn': 5}], 'teamId': 100, 'win': True, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': True, 'objectives.champion.kills': 33, 'objectives.dragon.first': False, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': True, 'objectives.inhibitor.kills': 1, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 2, 'objectives.tower.first': True, 'objectives.tower.kills': 10}","{'bans': [{'championId': -1, 'pickTurn': 6}, {'championId': 76, 'pickTurn': 7}, {'championId': 523, 'pickTurn': 8}, {'championId': 7, 'pickTurn': 9}, {'championId': -1, 'pickTurn': 10}], 'teamId': 200, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': False, 'objectives.champion.kills': 10, 'objectives.dragon.first': True, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 0, 'objectives.tower.first': False, 'objectives.tower.kills': 0}"
8,"{'bans': [{'championId': 7, 'pickTurn': 1}, {'championId': 23, 'pickTurn': 2}, {'championId': -1, 'pickTurn': 3}, {'championId': 69, 'pickTurn': 4}, {'championId': 64, 'pickTurn': 5}], 'teamId': 100, 'win': True, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': True, 'objectives.champion.kills': 19, 'objectives.dragon.first': True, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 0, 'objectives.tower.first': True, 'objectives.tower.kills': 3}","{'bans': [{'championId': 7, 'pickTurn': 6}, {'championId': -1, 'pickTurn': 7}, {'championId': 166, 'pickTurn': 8}, {'championId': 89, 'pickTurn': 9}, {'championId': 39, 'pickTurn': 10}], 'teamId': 200, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': False, 'objectives.champion.kills': 5, 'objectives.dragon.first': False, 'objectives.dragon.kills': 0, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 1, 'objectives.tower.first': False, 'objectives.tower.kills': 0}"
9,"{'bans': [{'championId': 517, 'pickTurn': 1}, {'championId': 92, 'pickTurn': 2}, {'championId': 412, 'pickTurn': 3}, {'championId': 246, 'pickTurn': 4}, {'championId': 7, 'pickTurn': 5}], 'teamId': 100, 'win': True, 'objectives.baron.first': True, 'objectives.baron.kills': 1, 'objectives.champion.first': False, 'objectives.champion.kills': 26, 'objectives.dragon.first': False, 'objectives.dragon.kills': 1, 'objectives.inhibitor.first': True, 'objectives.inhibitor.kills': 1, 'objectives.riftHerald.first': True, 'objectives.riftHerald.kills': 2, 'objectives.tower.first': True, 'objectives.tower.kills': 8}","{'bans': [{'championId': -1, 'pickTurn': 6}, {'championId': 429, 'pickTurn': 7}, {'championId': 41, 'pickTurn': 8}, {'championId': 39, 'pickTurn': 9}, {'championId': 166, 'pickTurn': 10}], 'teamId': 200, 'win': False, 'objectives.baron.first': False, 'objectives.baron.kills': 0, 'objectives.champion.first': True, 'objectives.champion.kills': 20, 'objectives.dragon.first': True, 'objectives.dragon.kills': 2, 'objectives.inhibitor.first': False, 'objectives.inhibitor.kills': 0, 'objectives.riftHerald.first': False, 'objectives.riftHerald.kills': 0, 'objectives.tower.first': False, 'objectives.tower.kills': 3}"
